"","site.animal.healthSS","site.animal.healthSS.1","site.animal.healthSS.2","site.animal.healthSS.3","site.animal.healthSS.4","site.animal.healthSS.5"
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae",-3.13048232013723,0.508507118871185,-6.15622122869482,7.45011350076863e-10,7.00310669072251e-08,TRUE
"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae",-3.7001112155065,0.72298765310526,-5.1178069218947,3.09108793938839e-07,1.45281133151254e-05,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae",-0.20714442471356,0.448054238826367,-0.462319975492595,0.643851876876968,0.775924056749167,FALSE
"k__Bacteria;__;__;__;__",-2.82739351145829,0.820765999056371,-3.44482290288453,0.00057143365317371,0.00596830704425875,TRUE
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__;f__",-2.21885614785163,0.814301939635099,-2.72485676362988,0,0,TRUE
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;__;__",-1.60138917780445,0.803410341486456,-1.99323943831938,0,0,TRUE
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae",2.90164569049522,0.763714604908287,3.79938483806221,0.00014505569725125,0.00272704710832349,TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__",1.4515090982854,0.767407567979339,1.89144485779228,0.058564985321077,0.152919683893923,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae",-2.19915391896687,0.782480413250444,-2.81049069309163,0.00494660195606098,0.0258322546594296,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Francisellaceae",-2.84357078822093,0.802541757544131,-3.54320602198019,0.000395293759215966,0.00589905616251625,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae",-2.11927758909894,0.808150929195855,-2.6223784599341,0.00873184062767996,0.0410396509500958,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__",-2.49865814568053,0.959346782590697,-2.60454112217165,0.00919973803780999,0.0411797797882923,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae",1.12359940723125,0.582570922486734,1.92869119254204,0.0537692102886101,0.144408736203696,FALSE
"k__Bacteria;p__;c__;o__;f__",-2.90168562721623,0.657478615087301,-4.41335362189832,1.01781543558553e-05,0.000318915503150132,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SUP05",-1.62108780023091,0.722499394119811,-2.24372202028737,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae",-1.93875579482504,0.811314615785417,-2.38964731696368,0.0168645588501767,0.0660528554965254,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__",-0.677442672415589,0.781480500101198,-0.866870859001426,0.386012771894207,0.525872471855876,FALSE
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae",0.106116415867098,0.558846803946725,0.189884625120294,0.849399540654742,0.887150631350508,FALSE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215",1.84469170160684,0.912532198002199,2.02150861706076,0.0432271412352848,0.13107584761667,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae",-0.921552074850241,0.695191822967108,-1.32560833485788,0.18496946399419,0.30503736167463,FALSE
"k__Bacteria;p__Bacteroidetes;__;__;__",0.463273129073552,0.665198141580953,0.696443811422123,0.486150934032559,0.634697052764729,FALSE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__",-0.655924046132978,0.681457155741181,-0.962531599539178,0.335782637918864,0.478235878248079,FALSE
