"","site.animal.healthSH","site.animal.healthSH.1","site.animal.healthSH.2","site.animal.healthSH.3","site.animal.healthSH.4","site.animal.healthSH.5"
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae",-0.279466629565109,0.291142223246513,-0.959897284731805,0.337106912914396,0.488223804910505,FALSE
"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae",-0.00267973719656914,0.481247247392298,-0.00556831693290642,0.995557148848876,0.995991818114963,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae",5.49497123153571,0.467371295548248,11.7571859544559,6.48601527517613e-32,2.72412641557397e-30,TRUE
"k__Bacteria;__;__;__;__",0.268837814624716,0.72290590255164,0.371884935059735,0.70997852209215,0.774522024100527,FALSE
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__;f__",0.659634838171832,0.864394025692444,0.763118229147194,0.445392889444636,0.575584657128453,FALSE
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;__;__",0.374988172231897,0.840803866349327,0.445987687782707,0.65560613964648,0.75439610589458,FALSE
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae",3.47501133022699,0.661650818570823,5.25203208806281,1.50430246626481e-07,1.80516295951777e-06,TRUE
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__",0.857766544411703,0.496885400873776,1.72628646948233,0.0842958883426271,0.180141141830866,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae",6.09357556815425,0.502702365809604,12.1216369418523,8.11224797411629e-34,6.81428829825768e-32,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Francisellaceae",0.282648787091147,0.617263050099271,0.457906539271531,0.647019588612574,0.75439610589458,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae",2.72739562974985,0.534510867705347,5.10260089090152,3.35017039800423e-07,3.51767891790444e-06,TRUE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__",0.120430142791846,0.726937963060254,0.165667703313857,0.868418463804324,0.91183938699454,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae",2.8134366058039,0.533515494518017,5.27339249696128,1.3392471646619e-07,1.80516295951777e-06,TRUE
"k__Bacteria;p__;c__;o__;f__",1.81791218960972,0.61122516080182,2.97421033392168,0.00293743648651769,0.0102810277028119,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SUP05",0.955095050355053,0.721250799406459,1.32422043918847,0.185429844628691,0.328322271107963,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae",-1.22660293916769,0.64104707705474,-1.91343659938871,0.0556921827301989,0.14176191967687,FALSE
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__",1.70423425572973,0.675691160392416,2.52220889605833,0.0116620430399948,0.0337797108744677,TRUE
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae",-0.712578757516014,0.411367454061568,-1.73221957760753,0,0,TRUE
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__JTB215",1.79855106313332,0.549920686263184,3.27056447967946,0,0,TRUE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae",-1.43513702512897,0.542186183151574,-2.64694503424437,0.0081222553739979,0.0252692389413268,TRUE
"k__Bacteria;p__Bacteroidetes;__;__;__",0.371773164554973,0.560380692967613,0.663429645632813,0.507055424424339,0.645343267449159,FALSE
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__",1.06810724777508,0.627356157371628,1.70255322311655,0.0886517102457573,0.180141141830866,FALSE
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae",-1.76104887168898,0.617702761438736,-2.85096486793614,0.00435867850602245,0.0146451597802354,TRUE
